"Name","Last","High","Low","Chg. %","Vol.","Upside","Time"
"Intel","22.74","25.04","22.52","-4.17%","141.35M","xx.xx","02:30:09"
"Microsoft","388.49","398.82","386.16","-2.14%","23.01M","xx.xx","02:30:09"
"Cisco","63.48","64.88","63.19","-0.98%","21.81M","xx.xx","02:30:09"
"Kraft Heinz","31.32","31.39","30.65","1.99%","8.91M","xx.xx","02:30:09"
"Vertex","483.31","490.65","477.73","0.73%","1.28M","xx.xx","02:30:09"
"Monster Beverage","55.17","55.58","53.90","0.95%","8.33M","xx.xx","02:30:09"
"Cintas","207.43","210.16","206.28","-0.03%","1.69M","xx.xx","02:30:09"
"Autodesk","272.03","280.46","270.61","-0.80%","2.52M","xx.xx","02:30:09"
"Gilead","115.99","117.16","114.68","1.47%","10.02M","xx.xx","02:30:09"
"Alphabet A","167.01","173.37","165.93","-1.92%","40.77M","xx.xx","02:30:09"
"Adobe","440.72","448.09","438.21","0.49%","2.61M","xx.xx","02:30:09"
"Qualcomm","153.62","160.08","152.52","-2.26%","9.6M","xx.xx","02:30:09"
"Warner Bros Discovery","11.02","11.67","10.93","-3.84%","50.49M","xx.xx","02:30:09"
"Applied Materials","152.13","160.32","150.67","-3.76%","9.26M","xx.xx","02:30:09"
"Cadence Design","241.74","253.45","240.35","-3.50%","2.06M","xx.xx","02:30:09"
"Microchip","57.95","62.64","57.36","-1.55%","19.51M","xx.xx","02:30:09"
"Intuitive Surgical","566.98","584.90","563.96","-1.08%","1.71M","xx.xx","02:30:09"
"Paychex","153.37","154.48","151.76","1.12%","1.79M","xx.xx","02:30:09"
"Apple","238.03","244.03","236.11","-1.58%","47.18M","xx.xx","02:30:09"
"Fastenal","74.38","76.87","74.26","-1.78%","3.34M","xx.xx","02:30:09"
"PACCAR","105.02","108.50","104.36","-2.07%","2.47M","xx.xx","02:30:09"
"Amazon.com","205.02","214.01","202.55","-3.42%","42.95M","xx.xx","02:30:09"
"Ross Stores","136.81","141.09","136.40","-2.50%","3.42M","xx.xx","02:30:09"
"Costco","1,046.85","1,066.00","1,041.14","-0.17%","2.42M","xx.xx","02:30:09"
"Lam Research","75.78","79.75","74.55","-1.25%","14.79M","xx.xx","02:30:09"
"Intuit","601.09","620.81","599.40","-2.08%","1.6M","xx.xx","02:30:09"
"Cognizant A","83.51","84.34","82.95","0.22%","3.1M","xx.xx","02:30:09"
"KLA Corp","691.15","728.11","686.36","-2.50%","1.3M","xx.xx","02:30:09"
"Amgen","310.78","312.48","307.34","0.88%","2.97M","xx.xx","02:30:09"
"Electronic Arts","129.23","131.60","128.87","0.09%","5.21M","xx.xx","02:30:09"
"Biogen","141.71","142.56","140.07","0.86%","1.62M","xx.xx","02:30:09"
"NVIDIA","114.06","123.70","112.28","-8.69%","411.38M","xx.xx","02:30:09"
"Starbucks","115.41","117.46","114.10","-0.35%","9.23M","xx.xx","02:30:09"
"Axon Enterprise","525.75","541.75","520.67","-0.51%","876.1K","xx.xx","02:30:09"
"Comcast","35.98","36.24","35.75","0.28%","19.85M","xx.xx","02:30:09"
"Marvell","85.83","92.88","84.87","-6.52%","20.88M","xx.xx","02:30:09"
"Analog Devices","228.53","233.83","225.67","-0.67%","5M","xx.xx","02:30:09"
"Xcel Energy","71.90","72.64","71.36","-0.28%","5.02M","xx.xx","02:30:09"
"CSX","31.93","32.40","31.74","-0.25%","11.27M","xx.xx","02:30:09"
"Exelon","44.55","44.62","44.00","0.79%","7.79M","xx.xx","02:30:09"
"Micron","90.54","96.20","89.39","-3.30%","20.28M","xx.xx","02:30:09"
"Marriott Int","277.72","284.48","275.37","-0.97%","1.64M","xx.xx","02:30:09"
"American Electric Power","107.70","107.82","105.69","1.56%","3.45M","xx.xx","02:30:09"
"Texas Instruments","194.39","200.25","193.59","-0.82%","6.14M","xx.xx","02:30:09"
"Coca-Cola European","86.92","87.73","86.21","0.77%","1.94M","xx.xx","02:30:09"
"Honeywell","212.02","216.06","211.03","-0.41%","5.33M","xx.xx","02:30:09"
"AMD","98.23","102.34","97.09","-1.63%","38.96M","xx.xx","02:30:09"
"Baker Hughes","43.60","45.30","43.08","-2.22%","9.12M","xx.xx","02:30:09"
"PepsiCo","155.99","156.15","150.50","1.64%","8.32M","xx.xx","02:30:09"
"ADP","318.64","320.50","315.70","1.10%","1.52M","xx.xx","02:30:09"
"Keurig Dr Pepper","34.13","34.36","33.30","1.82%","22.25M","xx.xx","02:30:09"
"Netflix","973.70","994.93","964.81","-0.70%","3.91M","xx.xx","02:30:09"
"Booking","4,946.15","5,054.75","4,914.10","-1.39%","351.98K","xx.xx","02:30:09"
"O’Reilly Automotive","1,375.99","1,386.36","1,365.98","0.17%","455.25K","xx.xx","02:30:09"
"Roper Technologies","585.81","592.00","583.15","0.22%","710.01K","xx.xx","02:30:09"
"Broadcom","187.37","204.06","184.53","-6.05%","37.44M","xx.xx","02:30:09"
"NXP","216.53","222.79","213.48","0.44%","4.65M","xx.xx","02:30:09"
"Tesla","284.65","303.94","277.30","-2.84%","115.55M","xx.xx","02:30:09"
"Take-Two","208.05","214.50","207.78","-1.85%","1.78M","xx.xx","02:30:09"
"ANSYS","325.44","335.23","325.15","-2.34%","965.06K","xx.xx","02:30:09"
"Charter Communications","370.66","376.24","360.60","1.95%","1.43M","xx.xx","02:30:09"
"CoStar","75.39","77.35","75.20","-1.13%","6.45M","xx.xx","02:30:09"
"DexCom","85.99","88.74","85.64","-2.69%","3.91M","xx.xx","02:30:09"
"Fortinet","106.54","110.67","106.04","-1.36%","5.29M","xx.xx","02:30:09"
"IDEXX Labs","437.15","443.56","434.45","0.01%","691.04K","xx.xx","02:30:09"
"MercadoLibre","2,070.41","2,143.61","2,058.00","-2.43%","358.79K","xx.xx","02:30:09"
"MicroStrategy","250.92","295.10","246.10","-1.77%","30.58M","xx.xx","02:30:09"
"ON Semiconductor","44.91","48.01","44.67","-4.55%","12.1M","xx.xx","02:30:09"
"T-Mobile US","272.83","276.49","269.29","1.16%","4.03M","xx.xx","02:30:09"
"Meta Platforms","655.05","681.25","650.84","-1.97%","10.84M","xx.xx","02:30:09"
"Workday","254.57","264.72","253.46","-3.33%","1.9M","xx.xx","02:30:09"
"Mondelez","65.78","66.01","64.04","2.41%","8.67M","xx.xx","02:30:09"
"Lululemon Athletica","347.81","367.01","345.52","-4.87%","1.7M","xx.xx","02:30:09"
"Regeneron Pharma","684.87","704.64","683.46","-1.99%","708.66K","xx.xx","02:30:09"
"AstraZeneca ADR","76.10","76.74","75.84","-0.14%","5.74M","xx.xx","02:30:09"
"ASML  ADR","699.86","732.35","692.48","-1.30%","2.28M","xx.xx","02:30:09"
"Copart","54.65","55.81","54.42","-0.27%","8.54M","xx.xx","02:30:09"
"Old Dominion Freight Line","172.28","178.77","171.44","-2.39%","2.41M","xx.xx","02:30:09"
"Synopsys","443.26","467.73","442.29","-3.07%","2.1M","xx.xx","02:30:09"
"Verisk","301.33","302.25","293.13","1.49%","990.3K","xx.xx","02:30:09"
"Diamondback","148.00","160.44","147.70","-6.89%","3.5M","xx.xx","02:30:09"
"Palo Alto Networks","183.68","193.66","182.26","-3.54%","5.12M","xx.xx","02:30:09"
"CDW Corp","172.50","179.60","171.64","-3.20%","1.45M","xx.xx","02:30:09"
"Alphabet C","168.66","175.00","167.64","-2.07%","24.12M","xx.xx","02:30:09"
"PayPal","69.75","71.57","69.50","-1.83%","15.75M","xx.xx","02:30:09"
"Atlassian Corp Plc","274.22","287.26","272.50","-3.53%","1.64M","xx.xx","02:30:09"
"The Trade Desk","67.17","72.07","66.82","-4.48%","11.72M","xx.xx","02:30:09"
"MongoDB","259.02","275.54","256.70","-3.14%","1.58M","xx.xx","02:30:09"
"Zscaler","188.79","199.70","187.40","-3.79%","1.81M","xx.xx","02:30:09"
"PDD Holdings DRC","112.60","115.96","112.04","-0.96%","5.97M","xx.xx","02:30:09"
"CrowdStrike Holdings","382.73","404.60","378.34","-1.78%","5.07M","xx.xx","02:30:09"
"Datadog","113.17","117.31","112.59","-2.90%","4.21M","xx.xx","02:30:09"
